GSE Series,Biosample Name,Method,Gene,Platform,Experimental_GSM,Control_GSM
GSE51878,HCASMC,shRNA,SENCR,?,GSM1254457;GSM1254458;GSM1254459,GSM1254460;GSM1254461;GSM1254462
GSE54846,IMR-90,shRNA,MACROH2A1,?,GSM1325077;GSM1325078;GSM1325079,GSM1325074;GSM1325075;GSM1325076
GSE59089,CD34+ HSPC-derived proerythroblasts,shRNA,EED,?,GSM1427141;GSM1427142;GSM1427143,GSM1427132;GSM1427133;GSM1427134
GSE59089,CD34+ HSPC-derived proerythroblasts,shRNA,EZH1,?,GSM1427135;GSM1427136;GSM1427137,GSM1427132;GSM1427133;GSM1427134
GSE59089,CD34+ HSPC-derived proerythroblasts,shRNA,EZH2,?,GSM1427138;GSM1427139;GSM1427140,GSM1427132;GSM1427133;GSM1427134
GSE59089,CD34+ HSPC-derived proerythroblasts,shRNA,SUZ12,?,GSM1427144;GSM1427145;GSM1427146,GSM1427132;GSM1427133;GSM1427134
GSE60217,Huvec,siRNA,ADAR1,?,GSM2033144;GSM2033145;GSM2033146,GSM2033141;GSM2033142;GSM2033143
GSE60217,Huvec + Hypoxia,siRNA,ADAR1,?,GSM2033150;GSM2033151;GSM2033152,GSM2033147;GSM2033148;GSM2033149
GSE60664,low passage primary melanoma cultures,shRNA,TEAD1/2/3/4,?,GSM1484332;GSM1484333;GSM1484334,GSM1484329;GSM1484330;GSM1484331
GSE61491,NPCs,shRNA,CHD8,?,GSM1506106;GSM1506107,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506108;GSM1506109,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506110;GSM1506111,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506112;GSM1506113,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506114;GSM1506115,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506116;GSM1506117,GSM1506120;GSM1506121
GSE61491,NPCs,shRNA,CHD8,?,GSM1506118;GSM1506119,GSM1506122;GSM1506123
GSE61794,MSC,shRNA,PTEN,?,GSM1513910;GSM1513911,GSM1513908;GSM1513909
GSE61794,NSCs,shRNA,PTEN,?,GSM1513906;GSM1513907,GSM1513904;GSM1513905
GSE62974,HUVEC,siRNA,EPAS1,?,GSM1537576;GSM1537577;GSM1537578,GSM1537573;GSM1537574;GSM1537575
GSE62982,ECs,shRNA,PPARY,?,GSM1537607;GSM1537608;GSM1537609,GSM1537603;GSM1537604;GSM1537605;GSM1537606
GSE67382,primary human neonatal keratinocytes,siRNA,BAF,?,GSM1921006;GSM1921007,GSM1921004;GSM1921005
GSE67382,primary human neonatal keratinocytes,siRNA,TP63,?,GSM1921008;GSM1921009,GSM1921004;GSM1921005
GSE68323,Primary Skeletal Muscle Cells,siRNA,VDR,?,GSM1668427;GSM1668429;GSM1668431;GSM1668433,GSM1668419;GSM1668421;GSM1668423;GSM1668425
GSE68323,Primary Skeletal Muscle Cells + Ethanol,siRNA,VDR,?,GSM1668426;GSM1668428;GSM1668430;GSM1668432,GSM1668418;GSM1668420;GSM1668422;GSM1668424
GSE71164,HUVEC,shRNA,EZH2,?,GSM1828763;GSM1828764;GSM1828765,GSM1828760;GSM1828761;GSM1828762
GSE71164,HUVEC + Fluid Shear Stress,shRNA,EZH2,?,GSM1828769;GSM1828770;GSM1828771,GSM1828766;GSM1828767;GSM1828768
GSE74324,IMR-90 (Proliferating),shRNA,P16/P21,?,GSM1917119;GSM1917120;GSM1917121,GSM1917083;GSM1917084;GSM1917085
GSE74324,IMR-90 (Proliferating),shRNA,BRD4,?,GSM1917110;GSM1917111;GSM1917112,GSM1917083;GSM1917084;GSM1917085
GSE74324,IMR-90 (Quiescent),shRNA,BRD4,?,GSM1917113;GSM1917114;GSM1917115,GSM1917086;GSM1917087;GSM1917088
GSE74324,IMR-90 (Senescent),shRNA,BRD4,?,GSM1917116;GSM1917117;GSM1917118,GSM1917089;GSM1917090;GSM1917091
GSE74324,IMR-90 (Quiescent),shRNA,P16/P21,?,GSM1917122;GSM1917123;GSM1917124,GSM1917086;GSM1917087;GSM1917088
GSE74324,IMR-90 (Senescent),shRNA,P16/P21,?,GSM1917125;GSM1917126;GSM1917127,GSM1917089;GSM1917090;GSM1917091
GSE74324,IMR-90 (Proliferating),shRNA,P53,?,GSM1917092;GSM1917093;GSM1917094,GSM1917083;GSM1917084;GSM1917085
GSE74324,IMR-90 (Quiescent),shRNA,P53,?,GSM1917095;GSM1917096;GSM1917097,GSM1917086;GSM1917087;GSM1917088
GSE74324,IMR-90 (Senescent),shRNA,P53,?,GSM1917098;GSM1917099;GSM1917100,GSM1917089;GSM1917090;GSM1917091
GSE74324,IMR-90 (Proliferating),shRNA,P53/RB,?,GSM1917128;GSM1917129;GSM1917130,GSM1917083;GSM1917084;GSM1917085
GSE74324,IMR-90 (Quiescent),shRNA,P53/RB,?,GSM1917131;GSM1917132;GSM1917133,GSM1917086;GSM1917087;GSM1917088
GSE74324,IMR-90 (Senescent),shRNA,P53/RB,?,GSM1917134;GSM1917135;GSM1917136,GSM1917089;GSM1917090;GSM1917091
GSE74324,IMR-90 (Proliferating),shRNA,P65,?,GSM1917101;GSM1917102;GSM1917103,GSM1917083;GSM1917084;GSM1917085
GSE74324,IMR-90 (Quiescent),shRNA,P65,?,GSM1917104;GSM1917105;GSM1917106,GSM1917086;GSM1917087;GSM1917088
GSE74324,IMR-90 (Senescent),shRNA,P65,?,GSM1917107;GSM1917108;GSM1917109,GSM1917089;GSM1917090;GSM1917091
GSE76572,HFF-1,shRNA,CAPER,?,GSM2028118;GSM2028119,GSM2028114;GSM2028115
GSE76572,HFF-1,shRNA,TBX3,?,GSM2028116;GSM2028117,GSM2028114;GSM2028115
GSE76572,HFF-1,shRNA,UCA1,?,GSM2028122;GSM2028123,GSM2028114;GSM2028115
GSE76647,human primary keratinocytes,siRNA,FOXC1,?,GSM2031987;GSM2031988;GSM2031989;GSM2031990;GSM2031991,GSM2031982;GSM2031983;GSM2031984;GSM2031985;GSM2031986
GSE77108,HAEC,siRNA,EP300,?,GSM2044431;GSM2044432;GSM2044433,GSM2044428;GSM2044429;GSM2044430
GSE77260,MSCs,siRNA,E2F1,?,GSM2046885;GSM2046886;GSM2046887;GSM2046888;GSM2046889;GSM2046890,GSM2046879;GSM2046880;GSM2046881;GSM2046882;GSM2046883;GSM2046884
GSE77523,HAF,shRNA,PTB,?,GSM2053628;GSM2053629,GSM2053624;GSM2053625
GSE77702,Motor Neuron,shRNA,FUS,?,GSM2056794;GSM2056795,GSM2056798;GSM2056799
GSE77702,Motor Neuron,shRNA,TAF15,?,GSM2056800;GSM2056801,GSM2056798;GSM2056799
GSE77702,Motor Neuron,shRNA,TDP43,?,GSM2056802;GSM2056803,GSM2056798;GSM2056799
GSE77702,Motor Neuron,shRNA,FUS + TAF15,?,GSM2056796;GSM2056797,GSM2056798;GSM2056799
GSE78271,PASMC,ko,ENG,?,GSM2070757;GSM2070758;GSM2070759,GSM2070754;GSM2070755;GSM2070756
GSE79724,pancreatic islets,shRNA,NKX2.2,?,GSM2101629;GSM2101630;GSM2101631,GSM2101626;GSM2101627;GSM2101628
GSE80386,HBECs,siRNA,INTS12,?,GSM2125485;GSM2125486;GSM2125487,GSM2125482;GSM2125483;GSM2125484
GSE80386,HBECs,siRNA,INTS12,?,GSM2125488;GSM2125489;GSM2125490,GSM2125482;GSM2125483;GSM2125484
GSE80979,HPrEC,shRNA,COX2,?,GSM2139700;GSM2139701;GSM2139702,GSM2139697;GSM2139698;GSM2139699
GSE81405,primary dermal fibroblasts,inhibit,CAF,?,GSM2430220;GSM2430221;GSM2430223;GSM2430224,GSM2430219;GSM2430222
GSE83299,HDLEC,siRNA,PROX1,?,GSM2198600;GSM2198601;GSM2198602,GSM2198597;GSM2198598;GSM2198599
GSE83299,HDLEC,siRNA,TIE2,?,GSM2198603;GSM2198604;GSM2198605,GSM2198597;GSM2198598;GSM2198599
GSE83381,PBMC derived macrophage,siRNA,SP140,?,GSM2344752;GSM2344756,GSM2344751;GSM2344755
GSE83484,Coriell Line ND29510,siRNA,SUPT4H1,?,GSM2204235;GSM2204236,GSM2204233;GSM2204234
GSE83484,Coriell Line ND38530,siRNA,SUPT4H1,?,GSM2204239;GSM2204240,GSM2204237;GSM2204238
GSE84135,hSAEC,shRNA,RELA,?,GSM2227592;GSM2227593;GSM2227594,GSM2227583;GSM2227584;GSM2227585
GSE84877,HUVEC,siRNA,TP53,?,GSM2252989;GSM2252990;GSM2252991,GSM2252986;GSM2252987;GSM2252988
GSE84877,HUVEC,siRNA,PKM2,?,GSM2252992;GSM2252993;GSM2252994,GSM2252986;GSM2252987;GSM2252988
GSE84877,HUVEC,siRNA,TP53 + PKM2,?,GSM2252995;GSM2252996;GSM2252997,GSM2252986;GSM2252987;GSM2252988
GSE86910,HSPCs,shRNA,PHB2,?,GSM2310256;GSM2310257,GSM2310252;GSM2310253
GSE86910,HSPCs,shRNA,TFAM,?,GSM2310254;GSM2310255,GSM2310252;GSM2310253
GSE87055,macrophage,siRNA,PU1,?,GSM2320006;GSM2320007,GSM2320004;GSM2320005
GSE87055,monocyte,siRNA,PU1,?,GSM2320010;GSM2320011,GSM2320008;GSM2320009
GSE87055,neutrophil,siRNA,PU1,?,GSM2320014;GSM2320015,GSM2320012;GSM2320013
GSE87534,HUVEC,siRNA,EZH2,?,GSM2333482;GSM2333483;GSM2333484,GSM2333479;GSM2333480;GSM2333481
GSE87554,HUVEC,siRNA,YAP,?,GSM2333701;GSM2333702;GSM2333703,GSM2333698;GSM2333699;GSM2333700
GSE87710,primary human erythroid cells,shRNA,RBM38,?,GSM2339188;GSM2339189;GSM2339190;GSM2339191,GSM2339186;GSM2339187
GSE89183,Erythroid cells,shRNA,RPL5,?,GSM2360167;GSM2360168,GSM2360173;GSM2360174
GSE89183,Erythroid cells,shRNA,RPS19,?,GSM2360169;GSM2360170,GSM2360173;GSM2360174
GSE89183,Erythroid cells,shRNA,TSR2,?,GSM2360171;GSM2360172,GSM2360173;GSM2360174
GSE89588,SkMc,shRNA,STAUFEN,?,GSM2384968;GSM2384969;GSM2384970,GSM2384965;GSM2384966;GSM2384967
GSE89588,SkMc,shRNA,UPF1,?,GSM2384971;GSM2384972;GSM2384973,GSM2384965;GSM2384966;GSM2384967
GSE93629,HSC,shRNA,GIPC1,?,GSM2459131;GSM2459132;GSM2459133,GSM2459128;GSM2459129;GSM2459130
GSE93902,T cell precursors CD1a+,shRNA,BCL11B,?,GSM2464649;GSM2464653;GSM2464657,GSM2464647;GSM2464651;GSM2464655
GSE93902,T cell precursors CD1a-,shRNA,BCL11B,?,GSM2464648;GSM2464652;GSM2464656,GSM2464646;GSM2464650;GSM2464654
GSE94853,NSCs,mut,IDH1,?,GSM2486503;GSM2486504,GSM2486501;GSM2486502
GSE94853,NSCs,"mut, knock",IDH1 + TP53,?,GSM2486505;GSM2486506,GSM2486501;GSM2486502
GSE94853,NSCs,"mut, knock, knock",IDH1 + TP53 + ATRX,?,GSM2486507;GSM2486508,GSM2486501;GSM2486502
GSE95089,human motor neurons,mut,SOD1+/A272C,?,GSM2496035;GSM2496036,GSM2496033;GSM2496034
GSE96713,monocyte-derived Mo-GMCSF[IL4 (0-72h)] cell,siRNA,NCOR2,?,GSM2538871;GSM2538872;GSM2538873,GSM2538874;GSM2538875;GSM2538876
GSE98343,HSPCs,shRNA,MTF2,?,GSM2592454;GSM2592455;GSM2592457;GSM2592458,GSM2592453;GSM2592456
GSE98368,human macrophages,siRNA,MAF,?,GSM2592828;GSM2592829,GSM2592826;GSM2592827
GSE99028,IMR-90 + Etoposide,shRNA,CGAS,?,GSM2630606;GSM2630607,GSM2630604;GSM2630605
GSE99559,neuroepithelial stem cells,ko,P62,?,GSM2646217;GSM2646218;GSM2646219,GSM2646211;GSM2646212;GSM2646213
GSE99778,HUVEC,siRNA,LPHN2,?,GSM2652140;GSM2652141,GSM2652138;GSM2652139
GSE99778,HUVEC,siRNA,LPHN2,?,GSM2652142;GSM2652143,GSM2652138;GSM2652139
GSE104684,HUVEC,siRNA,ATOH8,GPL570,GSM2805418;GSM2805420,GSM2805416
GSE104684,HUVEC + BMP9,siRNA,ATOH8,GPL570,GSM2805419;GSM2805421,GSM2805417
GSE104937,NHLF,siRNA,SOX11,GPL20844,GSM2810326,GSM2810325
GSE104937,NHLF + IL-13,siRNA,SOX11,GPL20844,GSM2810328,GSM2810327
GSE106274,HUASMCs,siRNA,NFAT5,GPL23644,GSM2834506;GSM2834507;GSM2834508,GSM2834509;GSM2834510;GSM2834511
GSE107469,Primary eutopic stromal cells,siRNA,NR2F2,GPL570,GSM2867991;GSM2867993;GSM2867995,GSM2867990;GSM2867992;GSM2867994
GSE108407,Decidual stromal cells,siRNA,GATA2,GPL570,GSM2897805;GSM2897807;GSM2897809,GSM2897806;GSM2897808;GSM2897810
GSE110726,Lymphatic endothelial cells,siRNA,GATA2,GPL17585,GSM3015254;GSM3015255;GSM3015256;GSM3015257,GSM3015242;GSM3015243;GSM3015244;GSM3015245;GSM3015246;GSM3015247;GSM3015248;GSM3015249;GSM3015250;GSM3015251;GSM3015252;GSM3015253
GSE116970,U5-NPC (G1 Phase),CRISPR,PTPN14,GPL11154,GSM3265740;GSM3265741,GSM3265738;GSM3265739
GSE116970,U5-NPC (G1 Phase),CRISPR,TP53,GPL11154,GSM3265744;GSM3265745,GSM3265738;GSM3265739
GSE116970,U5-NPC (G1 Phase),CRISPR,CREBBP,GPL11154,GSM3265730;GSM3265731,GSM3265738;GSM3265739
GSE116970,U5-NPC (G1 Phase),CRISPR,NF2,GPL11154,GSM3265736;GSM3265737,GSM3265738;GSM3265739
GSE116970,U5-NPC (G1 Phase),CRISPR,TAOK1,GPL11154,GSM3265742;GSM3265743,GSM3265738;GSM3265739
GSE124781,NHLF,siRNA,SOX11,GPL20844,GSM3553964,GSM3553962
GSE124781,NHLF + TGFB,siRNA,SOX11,GPL20844,GSM3553965,GSM3553963
GSE126739,T lymphocyte,siRNA,MYC,GPL20301,GSM3612029;GSM3612030;GSM3612031,GSM3612026;GSM3612027;GSM3612028
GSE12846,Primary lymphatic endothelial cells,siRNA,PROX1,GPL570,GSM322416,GSM322415
GSE12846,Primary lymphatic endothelial cells,siRNA,NR2F2,GPL570,GSM322417,GSM322415
GSE12846,Primary lymphatic endothelial cells,siRNA,PROX1 + NR2F2,GPL570,GSM322418,GSM322415
GSE13110,CD34+ progenitor cells,siRNA,MYB,GPL96,GSM328570,GSM328569
GSE13284,CD34-derived erythroid progenitors,siRNA,BCL11A,GPL570,GSM335328;GSM335329;GSM335330;GSM335331;GSM335332;GSM335333,GSM335322;GSM335323;GSM335324;GSM335325;GSM335326;GSM335327
GSE142608,primary human dermal lymphatic endothelial cells,siRNA,FOXO1,GPL16699,GSM4232809,GSM4232808
GSE14801,HUVEC,siRNA,ERG,GPL570,GSM370399;GSM370400,GSM370401;GSM370402
GSE154554,human hepatocytes,siRNA,HDAC4,GPL570,GSM4673348;GSM4673349;GSM4673350;GSM4673351,GSM4673344;GSM4673345;GSM4673346;GSM4673347
GSE154554,human hepatocytes,siRNA,HDAC5,GPL570,GSM4673352;GSM4673353;GSM4673354;GSM4673355,GSM4673344;GSM4673345;GSM4673346;GSM4673347
GSE154554,human hepatocytes,siRNA,HDAC4 + HDAC5 + HDAC7,GPL570,GSM4673356;GSM4673357;GSM4673358;GSM4673359,GSM4673344;GSM4673345;GSM4673346;GSM4673347
GSE163400,CAR T Cell,CRISPR,IKZF2,GPL16791,GSM4978306;GSM4978307,GSM4978302;GSM4978303
GSE163400,CAR T Cell,CRISPR,TLE4,GPL16791,GSM4978310;GSM4978311,GSM4978302;GSM4978303
GSE163400,CAR T Cell,CRISPR,TMEM184B,GPL16791,GSM4978304;GSM4978305,GSM4978302;GSM4978303
GSE163400,CAR T Cell,CRISPR,EIF5A,GPL16791,GSM4978308;GSM4978309,GSM4978302;GSM4978303
GSE16356,Lymphatic endothelial cells,siRNA,MAF,GPL570,GSM410699;GSM410700;GSM410701,GSM410696;GSM410697;GSM410698
GSE164413,human adipose tissue derived stem cells,siRNA,JARID2,GPL21697,GSM5009216;GSM5009217;GSM5009218,GSM5009213;GSM5009214;GSM5009215
GSE17241,Th0 (12h),shRNA,SATB1,GPL2507,GSM431612;GSM431626,GSM431602;GSM431623
GSE17241,Th1 (12h),siRNA,SATB1,GPL6102,GSM431613;GSM431627,GSM431603;GSM431624
GSE17241,Th2 (12h),siRNA,SATB1,GPL6106,GSM431614;GSM431628,GSM431604;GSM431625
GSE17241,Th0 (24h),shRNA,SATB1,GPL2507,GSM431615;GSM431632;GSM431644,GSM431605;GSM431629;GSM431641
GSE17241,Th1 (24h),siRNA,SATB1,GPL6102,GSM431578;GSM431588;GSM431616;GSM431633;GSM431645,GSM431576;GSM431586;GSM431606;GSM431630;GSM431642
GSE17241,Th2 (24h),siRNA,SATB1,GPL6106,GSM431579;GSM431589;GSM431617;GSM431634;GSM431646,GSM431577;GSM431587;GSM431607;GSM431631;GSM431643
GSE17241,Th0 (48h),shRNA,SATB1,GPL2507,GSM431618;GSM431638,GSM431608;GSM431635
GSE17241,Th1 (48h),siRNA,SATB1,GPL6102,GSM431582;GSM431592;GSM431619;GSM431639,GSM431580;GSM431590;GSM431609;GSM431636
GSE17241,Th2 (48h),siRNA,SATB1,GPL6106,GSM431583;GSM431593;GSM431620;GSM431640,GSM431581;GSM431591;GSM431610;GSM431637
GSE172435,Natural Killer Cell,shRNA,RUNX2,GPL18573,GSM5256000;GSM5256002;GSM5256004;GSM5256006;GSM5256008,GSM5255999;GSM5256001;GSM5256003;GSM5256005;GSM5256007
GSE173918,CD8+ T cells,CRISPR,BRD4,GPL24676,GSM5282895;GSM5282898;GSM5282901,GSM5282894;GSM5282897;GSM5282900
GSE173918,CD8+ T cells,CRISPR,PRDM1,GPL24676,GSM5282896;GSM5282899;GSM5282902,GSM5282894;GSM5282897;GSM5282900
GSE174284,Primary CD4+ T cells (Resting),CRISPR,FOXQ1,GPL18573,GSM5291009;GSM5291013;GSM5291017;GSM5291021,GSM5291007;GSM5291011;GSM5291015;GSM5291019
GSE174284,Primary CD4+ T cells (Activated),CRISPR,FOXQ1,GPL18573,GSM5291010;GSM5291014;GSM5291018;GSM5291022,GSM5291008;GSM5291012;GSM5291016;GSM5291020
GSE17543,Vascular smooth muscle cells,siRNA,FOXM1,GPL570,GSM437401,GSM437400
GSE176191,Naive Treg,CRISPR,FOXP3,GPL18573,GSM5359736;GSM5359739;GSM5359742;GSM5359745,GSM5359737;GSM5359740;GSM5359743;GSM5359746
GSE178163,ES-derived RPE cells,shRNA,LHX2,GPL18573,GSM5381211;GSM5381212,GSM5381213;GSM5381214
GSE17851,CD4+ T cells - IL4 (12h),siRNA,STAT6,GPL6102,GSM445809;GSM445827;GSM445845,GSM445818;GSM445836;GSM445854
GSE17851,CD4+ T cells + IL4 (12h),siRNA,STAT6,GPL6102,GSM445810;GSM445828;GSM445846,GSM445819;GSM445837;GSM445855
GSE17851,CD4+ T cells - IL4 (24h),siRNA,STAT6,GPL6102,GSM445811;GSM445829;GSM445847,GSM445820;GSM445838;GSM445856
GSE17851,CD4+ T cells + IL4 (24h),siRNA,STAT6,GPL6102,GSM445812;GSM445830;GSM445848,GSM445821;GSM445839;GSM445857
GSE17851,CD4+ T cells - IL4 (48h),siRNA,STAT6,GPL6102,GSM445813;GSM445831;GSM445849,GSM445822;GSM445840;GSM445858
GSE17851,CD4+ T cells + IL4 (48h),siRNA,STAT6,GPL6102,GSM445814;GSM445832;GSM445850,GSM445823;GSM445841;GSM445859
GSE17851,CD4+ T cells - IL4 (72h),siRNA,STAT6,GPL6102,GSM445815;GSM445833;GSM445851,GSM445824;GSM445842;GSM445860
GSE17851,CD4+ T cells + IL4 (72h),siRNA,STAT6,GPL6102,GSM445816;GSM445834;GSM445852,GSM445825;GSM445843;GSM445861
GSE180897,Monocyte-derived M-CSF macrophages,siRNA,STAT3,GPL23227,GSM5474430;GSM5474431;GSM5474432,GSM5474424;GSM5474425;GSM5474426
GSE180897,Monocyte-derived M-CSF macrophages + LPS,siRNA,STAT3,GPL23227,GSM5474433;GSM5474434;GSM5474435,GSM5474427;GSM5474428;GSM5474429
GSE181991,Lin-CD34+ HSPCs,shRNA,PLAG1,GPL11154,GSM5515754;GSM5515755,GSM5515756;GSM5515757
GSE18913,HUVEC + 0h VEGF,siRNA,EGR3,GPL570,GSM468605;GSM468606;GSM468607;GSM468608,GSM468603;GSM468604;GSM468621
GSE18913,HUVEC + 1h VEGF,siRNA,EGR3,GPL570,GSM468611;GSM468612;GSM468613;GSM468614,GSM468609;GSM468610;GSM468622
GSE18913,HUVEC + 4h VEGF,siRNA,EGR3,GPL570,GSM468617;GSM468618;GSM468619;GSM468620,GSM468615;GSM468616;GSM468623
GSE190763,hepatocytes,CRISPR,FOXA2,GPL20301,GSM5731239;GSM5731240,GSM5731243;GSM5731244
GSE190763,hepatocyte progenitors,CRISPR,FOXA2,GPL20301,GSM5731241;GSM5731242,GSM5731237;GSM5731238
GSE20286,MCF10A,shRNA,TP63 (all Isoforms),GPL571,GSM508614;GSM508615,GSM508612;GSM508613
GSE20286,MCF10A,shRNA,TP63 (transactivating Domain),GPL571,GSM508616;GSM508617,GSM508612;GSM508613
GSE20286,MCF10A,Overexpression,TP63 (Delta Np63a Isoform),GPL571,GSM508621;GSM508622;GSM508623,GSM508618;GSM508619;GSM508620
GSE20286,MCF10A,Overexpression,TP63 (TAp63y isoform),GPL571,GSM508624;GSM508625;GSM508626,GSM508618;GSM508619;GSM508620
GSE20545,CD34+,shRNA,TAL1,GPL6244,GSM516235;GSM516237;GSM516239;GSM516241,GSM516236;GSM516238;GSM516240;GSM516242
GSE206927,Valvular endothelial cell,siRNA,PPARG,GPL24676,GSM6266931;GSM6266932;GSM6266933,GSM6266928;GSM6266929;GSM6266930
GSE206927,Valvular endothelial cell + OxLdl,siRNA,PPARG,GPL24676,GSM6266937;GSM6266938;GSM6266939,GSM6266934;GSM6266935;GSM6266936
GSE207787,HUVEC,siRNA,PDHA1,GPL11154,GSM6318258;GSM6318259;GSM6318260,GSM6318252;GSM6318253;GSM6318254
